GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median monthly housing costs,Margin of Error; Median monthly housing costs
1400000US24001000100,24001000100,"Census Tract 1, Allegany County, Maryland",574,105
1400000US24001000200,24001000200,"Census Tract 2, Allegany County, Maryland",575,129
1400000US24001000300,24001000300,"Census Tract 3, Allegany County, Maryland",775,78
1400000US24001000400,24001000400,"Census Tract 4, Allegany County, Maryland",695,92
1400000US24001000500,24001000500,"Census Tract 5, Allegany County, Maryland",573,76
1400000US24001000600,24001000600,"Census Tract 6, Allegany County, Maryland",692,178
1400000US24001000700,24001000700,"Census Tract 7, Allegany County, Maryland",602,83
1400000US24001000800,24001000800,"Census Tract 8, Allegany County, Maryland",604,61
1400000US24001001000,24001001000,"Census Tract 10, Allegany County, Maryland",447,82
1400000US24001001100,24001001100,"Census Tract 11, Allegany County, Maryland",714,56
1400000US24001001200,24001001200,"Census Tract 12, Allegany County, Maryland",852,65
1400000US24001001300,24001001300,"Census Tract 13, Allegany County, Maryland",742,66
1400000US24001001401,24001001401,"Census Tract 14.01, Allegany County, Maryland",830,209
1400000US24001001402,24001001402,"Census Tract 14.02, Allegany County, Maryland",692,48
1400000US24001001502,24001001502,"Census Tract 15.02, Allegany County, Maryland",660,190
1400000US24001001503,24001001503,"Census Tract 15.03, Allegany County, Maryland",653,109
1400000US24001001600,24001001600,"Census Tract 16, Allegany County, Maryland",675,58
1400000US24001001700,24001001700,"Census Tract 17, Allegany County, Maryland",775,72
1400000US24001001800,24001001800,"Census Tract 18, Allegany County, Maryland",719,64
1400000US24001001900,24001001900,"Census Tract 19, Allegany County, Maryland",619,109
1400000US24001002000,24001002000,"Census Tract 20, Allegany County, Maryland",752,99
1400000US24001002100,24001002100,"Census Tract 21, Allegany County, Maryland",538,35
1400000US24001002200,24001002200,"Census Tract 22, Allegany County, Maryland",599,83
1400000US24003701101,24003701101,"Census Tract 7011.01, Anne Arundel County, Maryland",2070,148
1400000US24003701102,24003701102,"Census Tract 7011.02, Anne Arundel County, Maryland",2006,136
1400000US24003701200,24003701200,"Census Tract 7012, Anne Arundel County, Maryland",2015,156
1400000US24003701300,24003701300,"Census Tract 7013, Anne Arundel County, Maryland",2232,366
1400000US24003701400,24003701400,"Census Tract 7014, Anne Arundel County, Maryland",1612,627
1400000US24003702100,24003702100,"Census Tract 7021, Anne Arundel County, Maryland",1830,303
1400000US24003702204,24003702204,"Census Tract 7022.04, Anne Arundel County, Maryland",2085,148
1400000US24003702205,24003702205,"Census Tract 7022.05, Anne Arundel County, Maryland",1682,87
1400000US24003702206,24003702206,"Census Tract 7022.06, Anne Arundel County, Maryland",1840,115
1400000US24003702208,24003702208,"Census Tract 7022.08, Anne Arundel County, Maryland",1918,136
1400000US24003702209,24003702209,"Census Tract 7022.09, Anne Arundel County, Maryland",2130,112
1400000US24003702300,24003702300,"Census Tract 7023, Anne Arundel County, Maryland",2057,192
1400000US24003702402,24003702402,"Census Tract 7024.02, Anne Arundel County, Maryland",1831,130
1400000US24003702500,24003702500,"Census Tract 7025, Anne Arundel County, Maryland",1489,252
1400000US24003702601,24003702601,"Census Tract 7026.01, Anne Arundel County, Maryland",1807,160
1400000US24003702602,24003702602,"Census Tract 7026.02, Anne Arundel County, Maryland",2266,119
1400000US24003702701,24003702701,"Census Tract 7027.01, Anne Arundel County, Maryland",1633,63
1400000US24003702702,24003702702,"Census Tract 7027.02, Anne Arundel County, Maryland",2577,307
1400000US24003706101,24003706101,"Census Tract 7061.01, Anne Arundel County, Maryland",1487,269
1400000US24003706301,24003706301,"Census Tract 7063.01, Anne Arundel County, Maryland",1527,102
1400000US24003706302,24003706302,"Census Tract 7063.02, Anne Arundel County, Maryland",1822,246
1400000US24003706401,24003706401,"Census Tract 7064.01, Anne Arundel County, Maryland",1483,106
1400000US24003706402,24003706402,"Census Tract 7064.02, Anne Arundel County, Maryland",1491,233
1400000US24003706500,24003706500,"Census Tract 7065, Anne Arundel County, Maryland",1672,81
1400000US24003706600,24003706600,"Census Tract 7066, Anne Arundel County, Maryland",1688,199
1400000US24003706700,24003706700,"Census Tract 7067, Anne Arundel County, Maryland",2192,108
1400000US24003707001,24003707001,"Census Tract 7070.01, Anne Arundel County, Maryland",1908,97
1400000US24003707002,24003707002,"Census Tract 7070.02, Anne Arundel County, Maryland",1812,156
1400000US24003708001,24003708001,"Census Tract 7080.01, Anne Arundel County, Maryland",1848,135
1400000US24003708004,24003708004,"Census Tract 7080.04, Anne Arundel County, Maryland",973,124
1400000US24003730100,24003730100,"Census Tract 7301, Anne Arundel County, Maryland",1843,101
1400000US24003730203,24003730203,"Census Tract 7302.03, Anne Arundel County, Maryland",1096,60
1400000US24003730204,24003730204,"Census Tract 7302.04, Anne Arundel County, Maryland",1463,180
1400000US24003730300,24003730300,"Census Tract 7303, Anne Arundel County, Maryland",1369,82
1400000US24003730401,24003730401,"Census Tract 7304.01, Anne Arundel County, Maryland",1410,71
1400000US24003730402,24003730402,"Census Tract 7304.02, Anne Arundel County, Maryland",1169,60
1400000US24003730502,24003730502,"Census Tract 7305.02, Anne Arundel County, Maryland",1220,133
1400000US24003730504,24003730504,"Census Tract 7305.04, Anne Arundel County, Maryland",1613,56
1400000US24003730505,24003730505,"Census Tract 7305.05, Anne Arundel County, Maryland",1303,64
1400000US24003730506,24003730506,"Census Tract 7305.06, Anne Arundel County, Maryland",1140,27
1400000US24003730601,24003730601,"Census Tract 7306.01, Anne Arundel County, Maryland",2509,189
1400000US24003730603,24003730603,"Census Tract 7306.03, Anne Arundel County, Maryland",2038,202
1400000US24003730604,24003730604,"Census Tract 7306.04, Anne Arundel County, Maryland",2033,366
1400000US24003730700,24003730700,"Census Tract 7307, Anne Arundel County, Maryland",2023,298
1400000US24003730800,24003730800,"Census Tract 7308, Anne Arundel County, Maryland",2455,351
1400000US24003730901,24003730901,"Census Tract 7309.01, Anne Arundel County, Maryland",2083,228
1400000US24003730902,24003730902,"Census Tract 7309.02, Anne Arundel County, Maryland",1891,237
1400000US24003731002,24003731002,"Census Tract 7310.02, Anne Arundel County, Maryland",1845,92
